LAT;;;;;20.4737;20.4737;20.4737;20.4737
LON;;;;;106.023;106.023;106.023;106.023
ASL;;;;;4.00000;4.00000;4.00000;4.00000
CITY;;;;;Hà Nội;Hà Nội;Hà Nội;Hà Nội
DOMAIN;;;;;NEMSGLOBAL;NEMSGLOBAL;NEMSGLOBAL;NEMSGLOBAL
LEVEL;;;;;2 m above gnd;sfc;10 m above gnd;10 m above gnd
NAME;;;;;Temperature;Total Precipitation (high resolution);Wind Speed;Wind Direction
UNIT;;;;;°C;mm;km/h;°
AGGREGATION;;;;;;;;
UTC_OFFSET;;;;;7;7;7;7

Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Total Precipitation (high resolution)  [sfc];Wind Speed  [10 m above gnd];Wind Direction  [10 m above gnd]
2020;03;06;17;00;26.58;0.00;19.47;146.31
2020;03;06;18;00;24.34;0.00;17.34;138.37
2020;03;06;19;00;22.72;0.00;16.80;135.00
2020;03;06;20;00;21.39;0.00;9.73;141.01
2020;03;06;21;00;20.67;0.00;8.29;145.62
2020;03;06;22;00;20.64;0.00;7.10;149.53
2020;03;06;23;00;20.73;0.00;7.73;152.24
2020;03;07;00;00;20.57;0.00;7.29;147.09
2020;03;07;01;00;20.46;0.00;6.88;137.12
2020;03;07;02;00;20.34;0.00;5.40;126.87
2020;03;07;03;00;20.29;0.00;4.39;124.99
2020;03;07;04;00;20.27;0.00;3.89;123.69
2020;03;07;05;00;20.26;0.00;4.39;124.99
2020;03;07;06;00;20.27;0.00;4.20;120.96
2020;03;07;07;00;20.50;0.00;4.39;124.99
2020;03;07;08;00;21.60;0.00;6.03;162.65
2020;03;07;09;00;23.03;0.00;6.73;164.48
2020;03;07;10;00;25.15;0.00;7.97;161.57
2020;03;07;11;00;27.57;0.00;9.83;156.25
2020;03;07;12;00;29.06;0.00;12.72;154.89
2020;03;07;13;00;30.07;0.00;15.46;152.24
2020;03;07;14;00;30.64;0.00;17.71;153.43
2020;03;07;15;00;30.62;0.00;19.34;155.82
2020;03;07;16;00;29.97;0.00;19.97;154.36
2020;03;07;17;00;28.56;0.00;19.69;149.22
2020;03;07;18;00;25.98;0.00;18.72;142.03
2020;03;07;19;00;24.13;0.00;18.67;140.48
2020;03;07;20;00;22.79;0.00;9.29;144.46
2020;03;07;21;00;22.12;0.00;7.70;142.59
2020;03;07;22;00;21.64;0.00;8.16;138.58
2020;03;07;23;00;22.06;0.00;7.65;138.81
2020;03;08;00;00;22.07;0.00;6.11;135.00
2020;03;08;01;00;21.99;0.00;5.90;127.57
2020;03;08;02;00;21.93;0.00;5.69;124.70
2020;03;08;03;00;21.87;0.00;5.80;119.74
2020;03;08;04;00;21.83;0.00;5.50;121.61
2020;03;08;05;00;21.79;0.00;5.32;118.30
2020;03;08;06;00;21.77;0.00;5.80;119.74
2020;03;08;07;00;22.09;0.00;5.99;122.74
2020;03;08;08;00;23.37;0.00;5.82;158.20
2020;03;08;09;00;25.59;0.00;8.65;163.07
2020;03;08;10;00;28.52;0.00;9.61;167.01
2020;03;08;11;00;31.18;0.00;12.43;169.99
2020;03;08;12;00;33.15;0.00;14.47;174.29
2020;03;08;13;00;34.55;0.00;16.56;181.25
2020;03;08;14;00;35.64;0.00;17.77;186.98
2020;03;08;15;00;36.16;0.00;18.06;184.57
2020;03;08;16;00;36.12;0.00;17.73;174.17
2020;03;08;17;00;34.71;0.00;19.34;151.05
2020;03;08;18;00;30.84;0.00;19.62;137.23
